,id,corp_no,factory_cd,machine,jig_no,voltage,e_current,gas,wire,prod_qty,hit_point,terms,error1,error2,error3,weldtime,tip_change,start_point,mes_trans_ok,mes_trans_time,bigo,starttime,workings_cd,item_no,input_lot,lot_no
1920934,386545872,100,100,TM-PE NO.1 R6,1,25.0,162.3,21.4,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:43.530,,,,SLWB000 1
1920937,386545877,100,100,TM-PE NO.1 R6,1,25.0,159.6,21.4,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:44.050,,,,SLWB000 1
1920940,386545882,100,100,TM-PE NO.1 R6,1,23.0,162.3,21.4,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:44.847,,,,SLWB000 1
1920943,386545887,100,100,TM-PE NO.1 R6,1,25.0,158.3,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:45.380,,,,SLWB000 1
1920945,386545889,100,100,TM-PE NO.1 R2,1,18.4,220.0,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:45.397,,,,SLWB000 1
1921046,386545892,100,100,TM-PE NO.1 R6,1,25.0,160.0,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:45.917,,,,SLWB000 1
1921047,386545893,100,100,TM-PE NO.1 R2,1,18.4,220.0,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:45.923,,,,SLWB000 1
1921050,386545896,100,100,TM-PE NO.1 R6,1,25.0,160.0,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:46.450,,,,SLWB000 1
1921051,386545897,100,100,TM-PE NO.1 R2,1,18.3,219.5,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:46.453,,,,SLWB000 1
1921053,386545900,100,100,TM-PE NO.1 R6,1,25.0,160.0,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:46.970,,,,SLWB000 1
1921054,386545901,100,100,TM-PE NO.1 R2,1,17.9,219.0,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:46.977,,,,SLWB000 1
1921056,386545904,100,100,TM-PE NO.1 R6,1,24.0,167.0,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:47.507,,,,SLWB000 1
1921057,386545905,100,100,TM-PE NO.1 R2,1,18.2,219.5,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:47.513,,,,SLWB000 1
1921059,386545908,100,100,TM-PE NO.1 R6,1,23.0,158.6,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:48.030,,,,SLWB000 1
1921060,386545909,100,100,TM-PE NO.1 R2,1,17.7,220.0,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:48.037,,,,SLWB000 1
1921063,386545914,100,100,TM-PE NO.1 R6,1,24.0,154.3,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:48.557,,,,SLWB000 1
1921065,386545916,100,100,TM-PE NO.1 R2,1,18.2,217.7,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:48.567,,,,SLWB000 1
1921067,386545920,100,100,TM-PE NO.1 R6,1,23.0,162.0,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:49.087,,,,SLWB000 1
1921069,386545922,100,100,TM-PE NO.1 R2,1,17.8,221.3,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:49.100,,,,SLWB000 1
1921071,386545927,100,100,TM-PE NO.1 R6,1,23.0,160.0,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:49.623,,,,SLWB000 1
1921072,386545928,100,100,TM-PE NO.1 R2,1,18.2,220.4,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:49.630,,,,SLWB000 1
1921074,386545932,100,100,TM-PE NO.1 R6,1,23.0,160.0,21.4,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:50.153,,,,SLWB000 1
1921075,386545933,100,100,TM-PE NO.1 R2,1,18.0,219.0,0.0,0.0,0.0,1,1,,,G-L,0.0,0,0,N,,,2023-12-23 07:59:50.160,,,,SLWB000 1
1921077,386545938,100,100,TM-PE NO.1 R6,1,22.0,162.0,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:50.690,,,,SLWB000 1
1921178,386545943,100,100,TM-PE NO.1 R6,1,22.0,162.3,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:51.210,,,,SLWB000 1
1921180,386545947,100,100,TM-PE NO.1 R6,1,22.0,163.3,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:51.730,,,,SLWB000 1
1921182,386545951,100,100,TM-PE NO.1 R6,1,22.0,158.3,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:52.263,,,,SLWB000 1
1921185,386545955,100,100,TM-PE NO.1 R6,1,22.0,160.0,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:52.793,,,,SLWB000 1
1921188,386545961,100,100,TM-PE NO.1 R6,1,22.0,159.0,21.3,0.0,40250.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:59:53.320,,,,SLWB000 1
